,Probe_Id,ILMN_Gene
596,ILMN_1826759,HS.563007
597,ILMN_2235086,CCDC4
598,ILMN_1652938,PRRG3
599,ILMN_2390946,SCARF1
600,ILMN_1753440,C4ORF30
601,ILMN_1771734,LOC728564
602,ILMN_2404154,SERPINA1
603,ILMN_2145518,TMEM126B
604,ILMN_1778831,NTSR1
605,ILMN_1685365,ZNF773
606,ILMN_1737705,UHRF1BP1L
607,ILMN_1905349,HS.580735
608,ILMN_1692539,SH3BP1
609,ILMN_1900628,HS.577726
610,ILMN_1813116,LOC650412
611,ILMN_1726591,COP1
612,ILMN_2342579,IL7R
613,ILMN_1715613,TAOK2
614,ILMN_2172124,ZNF630
615,ILMN_1779376,GSK3B
616,ILMN_2215103,LOC644152
617,ILMN_1656625,RPS24
618,ILMN_1669034,CCL15
619,ILMN_1737394,LMNA
620,ILMN_1882114,HS.569960
621,ILMN_1678189,C9ORF153
622,ILMN_1777314,CNPY4
623,ILMN_1896637,HS.580636
624,ILMN_1732720,LENG9
625,ILMN_1858731,HS.163022
626,ILMN_1763419,TOP1
627,ILMN_1688162,SLC12A1
628,ILMN_1862853,HS.579025
629,ILMN_1761476,TTC3
630,ILMN_1839258,HS.566199
631,ILMN_1741483,HPS1
632,ILMN_1852689,HS.545769
633,ILMN_1754842,DLGAP4
634,ILMN_1798588,HLTF
635,ILMN_1766658,PKMYT1
636,ILMN_2349658,TSPO
637,ILMN_1658175,GGA1
638,ILMN_2379695,XRCC4
639,ILMN_1908357,HS.33756
640,ILMN_1798980,CAPZB
641,ILMN_1860760,HS.371668
642,ILMN_1690138,PHF10
643,ILMN_1749287,TLR6
644,ILMN_1678035,LOC651561
645,ILMN_2344120,ROPN1B
646,ILMN_1792995,MEIS2
647,ILMN_1757877,HCFC1R1
648,ILMN_1754558,LRRC10
649,ILMN_1752718,LOC650455
650,ILMN_1762594,NOD2
651,ILMN_2358628,ADK
652,ILMN_1701289,MGC40489
653,ILMN_1731023,REPIN1
654,ILMN_1657361,CBX7
655,ILMN_1870311,HS.176518
656,ILMN_1712886,LOC642325
657,ILMN_1702764,Mar-05
658,ILMN_1910325,HS.171319
659,ILMN_1748983,RTN4
660,ILMN_1813386,CORO6
661,ILMN_1655521,DMRTA1
662,ILMN_1704674,C1ORF180
663,ILMN_1791505,RNF17
664,ILMN_1695941,NECAB1
665,ILMN_2218758,EFCBP1
666,ILMN_1723662,ABHD2
667,ILMN_1832385,HS.225045
668,ILMN_2212780,GGTA1
669,ILMN_2121408,HBEGF
670,ILMN_1744560,ULK1
671,ILMN_1862812,HS.511483
672,ILMN_1673175,TNFSF11
673,ILMN_1669052,LRRC8E
674,ILMN_1795778,P4HA2
675,ILMN_1757085,NUMA1
676,ILMN_1652128,LMBRD1
677,ILMN_1673024,RBM15B
678,ILMN_1684368,MST150
679,ILMN_1913858,HS.574184
680,ILMN_1737965,ELOVL4
681,ILMN_1671104,ZNF592
682,ILMN_1668484,LRRC47
683,ILMN_2074477,GPR4
684,ILMN_2057220,HRSP12
685,ILMN_1684499,LOC650373
686,ILMN_1684549,RNPC2
687,ILMN_1679318,ARSJ
688,ILMN_1778709,PICALM
689,ILMN_1748366,SLC5A9
690,ILMN_1753507,FRMPD3
691,ILMN_1706149,PDCD2L
692,ILMN_1844612,HS.541352
693,ILMN_1880130,HS.538914
694,ILMN_2411897,KLF10
695,ILMN_1802831,MTMR12
696,ILMN_1718248,CFHR5
697,ILMN_1682034,HEY2
698,ILMN_1791112,COL25A1
699,ILMN_2074044,PLS1
700,ILMN_2181867,ANKRD20B
701,ILMN_1915661,HS.567114
702,ILMN_1727626,KRT39
703,ILMN_1776566,LOC645133
704,ILMN_1660113,CDH7
705,ILMN_1701307,LOC654258
706,ILMN_1669634,LOC643958
707,ILMN_2128741,RDH11
708,ILMN_1883386,HS.225853
709,ILMN_1840462,HS.443189
710,ILMN_1915822,HS.130251
711,ILMN_2399463,VAV3
712,ILMN_1821510,HS.567096
713,ILMN_1703016,CACNA1G
714,ILMN_1742167,TUBA1C
715,ILMN_1755786,KRT76
716,ILMN_1791754,CPT1B
717,ILMN_1679881,WRN
718,ILMN_1865673,HS.293024
719,ILMN_1685927,LOC648346
720,ILMN_1739683,LRRC6
721,ILMN_1733562,TFB1M
722,ILMN_1676984,DDIT3
723,ILMN_1777161,LOC646279
724,ILMN_1697773,ZNF517
725,ILMN_1743175,PTPRT
726,ILMN_2191929,C9ORF6
727,ILMN_1782551,E2F5
728,ILMN_1868317,HS.538346
729,ILMN_1654916,KIF7
730,ILMN_1746493,MDM2
731,ILMN_1671547,HMGA2
732,ILMN_1890516,HS.35953
733,ILMN_1757876,LOC649563
734,ILMN_1827171,HS.582453
735,ILMN_1915637,HS.563687
736,ILMN_2409318,RCCD1
737,ILMN_1685286,PPP1R12C
738,ILMN_1902209,HS.560817
739,ILMN_1793239,LOC642666
740,ILMN_1653039,LOC642934
741,ILMN_1793729,C15ORF39
742,ILMN_1748976,FAM91A2
743,ILMN_1809971,NBPF4
744,ILMN_1755983,NFATC3
745,ILMN_2366967,WT1
746,ILMN_1817287,HS.479989
747,ILMN_2219556,ISCA1
748,ILMN_1843258,HS.388217
749,ILMN_1764494,ATP5A1
750,ILMN_1666323,LOC647251
751,ILMN_1822495,HS.544127
752,ILMN_1678555,LOC642859
753,ILMN_1794512,ADPRH
754,ILMN_1684314,LOC648127
755,ILMN_1733985,SIRT3
756,ILMN_2367191,PSMF1
757,ILMN_1671010,ZNF267
758,ILMN_2279377,SLC29A1
759,ILMN_1909247,HS.112050
760,ILMN_1767086,MGC57359
761,ILMN_1799725,DOCK2
762,ILMN_1658902,DEAF1
763,ILMN_1668657,FLJ38973
764,ILMN_1769575,JAM3
765,ILMN_1915763,HS.542721
766,ILMN_1747932,TMPRSS7
767,ILMN_1828971,HS.575576
768,ILMN_1832544,HS.244018
769,ILMN_1681003,LOC646442
770,ILMN_1810400,IDH3B
771,ILMN_1654249,LOC647083
772,ILMN_2367204,DSCAM
773,ILMN_1668983,ACVR2B
774,ILMN_1900527,HS.535223
775,ILMN_1667738,LOC653596
776,ILMN_1689220,IQCE
777,ILMN_1903879,HS.564101
778,ILMN_1673950,STBD1
779,ILMN_1727332,ATPIF1
780,ILMN_2356654,LGALS8
781,ILMN_1826609,HS.541438
782,ILMN_1850529,HS.165432
783,ILMN_1852349,HS.543052
784,ILMN_1841468,HS.571120
785,ILMN_1904261,HS.550236
786,ILMN_1908081,HS.482753
787,ILMN_2413572,MARK2
788,ILMN_1656069,C17ORF55
789,ILMN_1717403,C9ORF100
790,ILMN_2411723,RPSA
791,ILMN_1878890,HS.580465
792,ILMN_1896113,HS.123544
793,ILMN_1705064,NDEL1
794,ILMN_1656545,LOC652793
795,ILMN_1893636,HS.542168
796,ILMN_1706598,ACPL2
797,ILMN_1672484,LOC653238
798,ILMN_1787085,GLRA3
799,ILMN_1860027,HS.201714
800,ILMN_1842286,HS.580229
801,ILMN_1666220,LOC254398
802,ILMN_2252300,NPHP1
803,ILMN_1795251,SPARCL1
804,ILMN_1678678,SLC37A4
805,ILMN_1800476,DEFB114
806,ILMN_2184789,HSCB
807,ILMN_2288148,TTYH2
808,ILMN_1690490,ZFP41
809,ILMN_1903095,HS.577970
810,ILMN_1855655,HS.566325
811,ILMN_1697777,TSTA3
812,ILMN_1795720,LOC651123
813,ILMN_1806405,CDKN2AIPNL
814,ILMN_1729020,OR7D4
815,ILMN_2150465,C5ORF28
816,ILMN_1742131,CPNE7
817,ILMN_1664030,RAB1B
818,ILMN_1754389,LOC650706
